NO,"NO SURAT MASUK","NOMOR SURAT",TANGGAL,PERIHAL,"TERIMA DARI",ISI,"TANGGAL DITERUSKAN",CATATAN,KATEGORI,"TANGGAL PELAKSANAAN","WAKTU PELAKSANAAN","TEMPAT PELAKSANAAN"
435,1374,040.Oct/2022,RP.05/4171/2022,0000-00-00,"Undangan rapat koordinasi pengendalian operasional kegiatan (RAKOPROK) APBD triwulan III tahun anggaran 2022","Sekretariat Daerah","Undangan rapat koordinasi pengendalian operasional kegiatan (RAKOPROK) APBD triwulan III tahun anggaran 2022",17-Oct-22,,UNDANGAN,2022/10/17,"09.00 - selesai","Balai Tawangarum Kompel Balaikota Surakarta"
436,1373,039.Oct/2022,066/I03.01/SMK.K/P/2022,0000-00-00,"Permohonan kunjungan industri","SMK GIRIPURO Banyumas","Permohonan kunjungan industri (140 orang)",17-Oct-22,"Bagian diklat ( m christian, m budi)",KUNJUNGAN,"Selasa,25 Oktober 2022",menyesuaikan,
437,1372,038.Oct/2022,608.1/OD.03.01,0000-00-00,"Undangan Rapat pansus","DPRD KOTA SURAKARTA","Rapat Kerja Pansus Raperda tentang Fasilitasi Penyelenggaraan Pesantren",14-Oct-22,"Sudah dihadiri",UNDANGAN,2022/10/14,15.00-selesai,"Gedung Graha Padipurna DPRD Kota Surakarta"
438,1371,037.Oct/2022,468/005/X/2022,0000-00-00,"Undangan rapat pembahasan rencana pengembangan prototype dan penjelasan pengumuman RAB.",Balitbangda,"Undangan rapat pembahasan rencana pengembangan prototype dan penjelasan pengumuman RAB.",14-Oct-22,"Sudah dihadiri",UNDANGAN,2022/10/14,"08.30 WIB - selesai","ruang meeting 1"
439,1370,036.Oct/2022,465/005/X/2022,0000-00-00,"Undangan rapat pembahasan lanjutan perjanjian sewa menyewa gedung Ex Teaching Factory kawasan solo technopark antara UPT solo technopark dengan PT.shopee internasional indonesia.",Balitbangda,"Undangan rapat pembahasan lanjutan perjanjian sewa menyewa gedung Ex Teaching Factory kawasan solo technopark antara UPT solo technopark dengan PT.shopee internasional indonesia.",14-Oct-22,"Sudah dihadiri",UNDANGAN,"Kaamis, 13 Oktober 2022","09.00 - selesai","Ruang rapat balitbangda"
440,1369,035.Oct/2022,TM.00.07/365/X/2022,0000-00-00,"Undangan teknis penyusunan APBD tahun anggaran 2023",BPPKAD,"Undangan teknis penyusunan APBD tahun anggaran 2023",13-Oct-22,"Bagian keuangan hadiri (bu susi, m agus)",UNDANGAN,2022/10/17,"08.30 WIB - selesai","Ballroom Swiss-Bellin Saripetojo Hotel Solo"
441,1368,034.Oct/2022,171/APEKSI/IX/2022,2022-09-26,"Permohonan narasumber indo smart city APEKSI 2022.",APEKSI,"Permohonan narasumber indo smart city APEKSI 2022.",13-Oct-22,"Sudah dihadiri",PERMOHONAN,2022/10/14,"09.00 - 10.30 WIB",
442,1367,033.Oct/2022,721/M.3/12-SMK/X/2022,0000-00-00,"Permohonan Praktik kerja industri","SMK PGRI 1 NGAWI","Permohonan Praktik kerja industri",13-Oct-22,"Bagian diklat fasilitasi (m christian, m budi)",PERMOHONAN,"2 Januari 2023 - 25 Maret 2023",,
443,1366,032.Oct/2022,TM.00.05/411/2022,0000-00-00,"Undangnan mlampah mlampah ing kampung wisata batik kauman solo","Sekretariat Daerah","Undangnan mlampah mlampah ing kampung wisata batik kauman solo",13-Oct-22,"Sudah dihadiri",UNDANGAN,"Kaamis, 13 Oktober 2022","06.00 WIB","Halaman alaikota surakarta"
444,1365,031.Oct/2022,B-11648/II.8.5/TU.01.01/10/2022,0000-00-00,"Permohonan kunjungan",BRIN,"Menindak lanjuti hasil temu pengelola science center tahap III (3 orang)",13-Oct-22,"Diterima (m christian, m ani)",KUNJUNGAN,2022/10/27,"09.00 - selesai",
445,1364,030.Oct/2022,041/SK/SIH/X/2022,0000-00-00,"Tanggapan atas surat UPT Solo Technopark Nomor 1/PN.01.01/X/2022","Kantor jasa penilai publik, SIH WIRYADI & REKAN","Tanggapan atas surat UPT Solo Technopark Nomor 1/PN.01.01/X/2022",13-Oct-22,"Bagian kerjasama & liga (m susilo, m reza)",,,,
446,1363,029.Oct/2022,B747/IKMA.3/IND/X/2022,0000-00-00,"Undangan talkshow strategi industri kecil dan menengah naik kelas","Kementrian perindustrian","Undangan talkshow strategi industri kecil dan menengah naik kelas",13-Oct-22,"Sudah dihadiri",UNDANGAN,2022/10/14,"15.30 WIB - selesai","Canting Londo Kitchen"
447,1362,028.Oct/2022,608/OD.03.01,0000-00-00,"Undangan Rapat pansus","DPRD KOTA SURAKARTA","Rapat Kerja Pansus Raperda tentang Fasilitasi Penyelenggaraan Pesantren",13-Oct-22,"Sudah dihadiri(m reza)",UNDANGAN,2022/10/14,"18.00 WIB","Gedung Graha Padipurna DPRD Kota Surakarta"
448,1361,027.Oct/2022,"002/G/ET BEM/FT UNY/VIII/2022",0000-00-00,"Permmohonan kunjungan industri",UNY,"Pelaksanaan kegiatan ""Engineering Tour""",13-Oct-22,"Bagian pelayanan diklat (m christian, m budi)",KUNJUNGAN,2022/10/17,"09.30 - 11.10 WIB",STP
449,1360,026.Oct/2022,387/RP.05/X/2022,0000-00-00,"Undangan desk pelaporan simdalbangda bulan september tahun 2022","Sekretariat Daerah","Undangan desk pelaporan simdalbangda bulan september tahun 2022",13-Oct-22,"Sudah dihadiri",UNDANGAN,2022/10/12,,"Ruang rapat menganti praja urakarta"
450,1359,025.Oct/2022,386/RP.05/X/2022,0000-00-00,"Undangan pelatihan dan pengisian aplikasi simdalbangda perubahan v.4 tahun anggaran 2022","Sekretariat Daerah","Undangan pelatihan dan pengisian aplikasi simdalbangda perubahan v.4 tahun anggaran 2022",13-Oct-22,"Sudah dihadiri",UNDANGAN,2022/10/12,"10.30 - 12.00","Ruang rapat menganti praja urakarta"
451,1358,024.Oct/2022,421/4984,0000-00-00,"Permohonan ijin kunjungan dan peminjaman tempat","SKMKN 2 DEPOK SLEMAN","Permohonan ijin kunjungan dan peminjaman tempat . (50 guru)",13-Oct-22,"Bagian kerjasama (m susilo, m danang)",PERMOHONAN,2022/10/18,"09.00 - selesai",
452,1357,023.Oct/2022,01.3/SPm/KAFEGAMA/VI/2022,2022-06-02,"Partisipasi ilan display pada buku KAFEGAMA","KAFEGAMA (UGM,Yogyakarta)","Partisipasi ilan display pada buku KAFEGAMA",11-Oct-22,"Arsipkan tidak diambil (m ani)",PERMOHONAN,,,
453,1356,022.Oct/2022,0417/BAAK.01/AK.7/TK/X/2022,0000-00-00,"Permohonan magang/PKL, Teknik Komputer",Politama,"Permohonan magang/PKL, Teknik Komputer",11-Oct-22,"Bagian diklat fasilitasi (m christian, m budi)",PERMOHONAN,"Februari - Juli 2023",,
454,1355,021.Oct/2022,421.2/SK-IU/SDICT-AA/IX/2022,0000-00-00,"Permohonan kunjungan kegiatan outing class","SDICT AL ABIDIN","Permohonan kunjungan kegiatan outing class",10-Oct-22,"Diterima SSC (mbak ani, mbak lusi, MSIB)",KUNJUNGAN,"Rabu,19 Oktober 2022","08.00 - 11.00 WIB",STP
455,1354,020.Oct/2022,1519/S2/AK/2022,0000-00-00,"Permohonan Izin magang industri",UNISRI,"Permohonan Izin magang industri",10-Oct-22,"Magang Diterima ( mas christian, pak yudit)",PERMOHONAN,"7 November - 23 Desember 2022",,
456,1353,019.Oct/2022,0403/BAAK.AK.7/TK/X/2022,0000-00-00,"Permohonan magang/PKL, Teknik Komputer",Politama,"Permohonan magang/PKL, Teknik Komputer",10-Oct-22,"Diterima ( m christian)",PERMOHONAN,"Februari - Juli 2023",,
457,1352,018.Oct/2022,518.3/9.114,0000-00-00,"Kunjungan studi tiru digitalisasi UMKM","DINNAKERKOPUKM Banyumas","Kunjungan studi tiru digitalisasi UMKM. (40 orang)",10-Oct-22,"Diterima ( yudit,danu)",KUNJUNGAN,2022/10/15,"09.00 - selesai",
458,1351,017.Oct/2022,896/IT2.B07.5/KS/2022,0000-00-00,"Permohonan kunjungan ke solo technopark",ITB,"Benchmarking stadium game developer di solo technopark. (19 orang)",10-Oct-22,"Bagian kerjasama & inkubasi fasilitasi ( m susilo, m danu)",PERMOHONAN,2022/10/27,"09.00 - selesai",
459,1350,016.Oct/2022,B-815/SD.4/WU/X/2022,0000-00-00,"Undangan Sosialisasi perpres RI No2 tahun 2022",KEMENKOPUKM,"Undangan Sosialisasi perpres RI No2 tahun 2022",10-Oct-22,"Hadiri ( mas danu)",UNDANGAN,2022/10/12,"08.30 WIB - selesai","Lor in Hotel Solo"
460,1349,015.Oct/2022,0240/I.b/UMC-DK.FE/X/2022,0000-00-00,"Permohonan kunjungan ke kampus UMKM Shopee Ekspor Solo","Universitas Muhammadiyan Cirebon","Permohonan kunjungan ke kampus UMKM Shopee Ekspor Solo (124 Orang)",10-Oct-22,"Diterima (m susilo)",KUNJUNGAN,2022/11/05,"08.00 - 12.00",
461,1348,014.Oct/2022,,0000-00-00,"Peminjaman tempat ruang seminar besar gedung STC untuk kegiatan kampus UMKM Shopee solo","PT Shopee International Indonesia","Kunjungan universitas muhammadiyan cirebon (120 Orang)",10-Oct-22,"Diterima (m susilo)",PERMOHONAN,2022/11/05,"08.00 - 12.00","Ruang Seminar Besar Gedung STC"
462,1347,013.Oct/2022,TM.00.07/357/X/2022,0000-00-00,"Undangan FGD dan inputing data sistem persediaan tahun anggaran 2022",BPPKD,"Undangan FGD dan inputing data sistem persediaan tahun anggaran 2022",10-Oct-22,"Keuangan ( bu susi. M budi)",UNDANGAN,"Senin - Selasa , 10 -11 Oktober 2022","08.00 WIB","The Sunan Hotel Solo"
463,1346,012.Oct/2022,445/005/X/2022,0000-00-00,"Undangan seleksi presentasi calon peserta pendampingan hilirisasi hasil riset perguruan tinggi tahun 2022",Balitbangda,"Undangan seleksi presentasi calon peserta pendampingan hilirisasi hasil riset perguruan tinggi tahun 2022",06-Oct-22,"Sudah dihadiri",UNDANGAN,2022/10/07,"08.30 WIB","Gedung STC Solo Technopark"
464,1345,011.Oct/2022,011.Oct/2022-SRT-0307/SKKMI6000/2022/S0,0000-00-00,"Alat peraga hulu","SKK Migas","menggunakan sementara beberapa alat peraga hulu migas yang berada di Migas Corner STP. alat peraga yang akan digunakan maket hulu - hilir minyak dan gas bumi.",06-Oct-22,Sudah,PERMOHONAN,"Jumat - Kamis, 7 - 13 Oktober 2022.",,"Jatim fair"
465,1344,010.Oct/2022,04/SMKMD/X/2022,0000-00-00,"Permohonan Kunjungan","SMK Masa Depan","Permohonan Kunjungan",05-Oct-22,,KUNJUNGAN,2022/10/06,"13.00 - 15.00 WIB",
466,1343,009.Oct/2022,KU.00/3941/2022,0000-00-00,"Undangan menyaksikan penyerahan DPPA tahun anggaran 2022","Sekretariat Daerah","Undangan menyaksikan penyerahan DPPA tahun anggaran 2022",04-Oct-22,"Keuangan Hadiri",UNDANGAN,2022/10/06,"08.00 WIB","Pendapi Gedhe Balaikota SKA"
467,1342,008.Oct/2022,084/SCI-X/UMKM/2022,0000-00-00,"Izin kunjungan kerja","ID survey.SUCOFINDO","Verifikasi data dan dokumentasi program evaluasi kemitraan tahun 2020/2021. 2 orang",04-Oct-22,"Sudah ditemui",KUNJUNGAN,2022/10/04,,
468,1341,007.Oct/2022,441/PN.08/X/2022,0000-00-00,"Permohonan personil tambahan panitia lomba krenova se subosukowonosraten, tambahan 8 orang",Balitbangda,"Permohonan personil tambahan panitia lomba krenova se subosukowonosraten, tambahan 8 orang",04-Oct-22,"Tambahan dialihkan dari mahasiswa MSIB kerjasama (P susilo,P danang)",PERMOHONAN,,,
469,1340,006.Oct/2022,004/INRARE/VIII/2022,0000-00-00,"Permohonan pemasangan installasi","HMDI UNS","Pameran , creative sharing dan music performance. Acara pra event INRARE 2022",03-Oct-22,"mas susilo",PERMOHONAN,"Jumat - Minggu, 14 - 16 Oktober 2022","09.00 - 21.00 WIB","Hatero space"
470,1339,005.Oct/2022,PN.0.50/3857.1/2022,2022-09-28,"Undangan Kegiatan lomba krenova kategori masyarakat umum se subosukawonosraten","Sekretariat Daerah","1. Pembukaan lomba krenova kategori masyarakat umum se subosukawonosraten. 2. Penutupan lomba krenova kategori masyarakat umum se subosukawonosraten.",03-Oct-22,"Fasilitasi (m susilo, m danang)",UNDANGAN,2022/10/05,"Pembukaan : 08.00 WIB. Penutupan : 15.00","Gedung Inkubator Bisnis Solo Technopark"
471,1338,004.Oct/2022,B/2009/KI/X/2022,0000-00-00,"Kegiatan monitoring dan evaluasi pengelolaan pengaduan masyarakat",Diskominfo,"Berangkat bersama dengan armada bus ke hotel grand serela yogyakarta",03-Oct-22,"Hadiri. (m ani)",UNDANGAN,2022/10/11,"07.15 WIB","Halaman Balaikota"
472,1337,003.Oct/2022,440/005/X/2022,0000-00-00,"Undangan Rapat koordinasi pelaksanaan kegiatan UPT BLUD Solo Technopark",Balitbangda,"Undangan Rapat koordinasi pelaksanaan kegiatan UPT BLUD Solo Technopark",03-Oct-22,,UNDANGAN,2022/10/04,"09.00 WIB","Ruang rapat Balitbangda"
473,1336,002.Oct/2022,"107/103.27.SMK Nust.1/PP/X/2022",0000-00-00,"Undangan Workshop materi pembelajaran berbasis real dan materi infrastruktur dari dunia kerja","SMK NUSANTARA 1 COMEL","Undangan Workshop materi pembelajaran berbasis real dan materi infrastruktur dari dunia kerja",03-Oct-22,"Hadiri. (mas christian)",UNDANGAN,2022/10/29,"08.00 WIB - selesai","SMK NUSANTARA 1 COMEL"
474,1335,001.Oct/2022,94/B.2/A.4/2022,2022-09-30,"Rencana Kunjungan Kerja untuk Pengumpulan Data dan Informasi Kajian Inovasi","Kementrian Investasi/BKPM","Rencana Kunjungan Kerja untuk Pengumpulan Data dan Informasi Kajian Inovasi",03-Oct-22,"Siapkan Data, Selasa ikut hadiri (p. Christian) (m. Danu)",KUNJUNGAN,2022/10/04,"08.30 - 10. 30 WIB",
475,1334,068.Sept/2022,560/OD.03.01,2022-09-30,"Undangan Rapat Pansus","DPRD KOTA SURAKARTA","Rapat Kerja Pansus Raperda tentang Fasilitasi Penyelenggaraan Pesantren",2022/09/30,"Hadiri (m.Reza) Info (m.Susilo)",UNDANGAN,2022/10/03,"10.00 WIB","Ruang Rapat Badan Anggaran DPRD Kota Surakarta"
476,1333,067.Sept/2022,TM.00.05/3801/2022,2022-09-26,"Undangan melaksanakan workshop pemetaan kerja sama daerah tahun 2023","Sekretariat Daerah","Undangan melaksanakan workshop pemetaan kerja sama daerah tahun 2023",2022/09/30,"Hadiri (m.Susilo)",UNDANGAN,2022/10/04,"08.00 WIB - selesai","Haris Hotel & Conventions Solo"
477,1332,066.Sept/2022,51/AST/ICE/09/2022,2022-09-28,"Undangan Opening Ceremony Astery Coffe League",ASTERY,"Undangan Opening Ceremony Astery Coffe League",2022/09/29,"Sudah Dihadiri",UNDANGAN,2022/09/29,"09.00 - 11.00","Solo Technopark"
478,1331,065.Sept/2022,,2022-09-27,"Kunjungan Kerja Industri (62 org)","SMK TARBIYATUS SHIBYAN","Kunjungan Kerja Industri (62 org)",2022/09/27,"Fasilitasi (p christian, p budi)",KUNJUNGAN,2022/10/27,"08.30 WIB - selesai",
479,1330,064.Sept/2022,1500/UN10.B100/TU/2022,2022-09-26,"Permohonan Kunjungan Benchmarking","Universitas Brawijaya","Permohonan Kunjungan Benchmarking",2022/09/27,"Fasilitasi (p christian, p budi)",KUNJUNGAN,2022/10/19,"10.00 WIB - selesai",
480,1329,063.Sept/2022,1365/S2/AK/2022,2022-09-21,"Permohonan Izin magang industri",UNISRI,"Permohonan Izin magang industri",2022/09/27,"Fasilitasi kalau dibutuhkan untuk membuat laporan",PERMOHONAN,"07 Nv - 23 Des 2022",,
481,1328,062.Sept/2022,410/005/IX/2022,2022-09-23,"Undangan rapat koordinasi pelaksanaan lomba krenova kategori masyarakat umum se subosukawonosraten dan pembahasan teknis penjurian",Balitbangda,"Undangan rapat koordinasi pelaksanaan lomba krenova kategori masyarakat umum se subosukawonosraten dan pembahasan teknis penjurian",2022/09/27,"Sudah Dihadiri",UNDANGAN,"Selasa, 27 Seotember 2022","09.00 WIB - selesai","Ruang Rapat Balitbangda"
482,1327,061.Sept/2022,B/1946/KI/IX/2022,2022-09-23,"Ralat Monitoring dan evaluasi pengelolaan pengaduan masyarakat (di undur)",DISKOMINFO,"Ralat Monitoring dan evaluasi pengelolaan pengaduan masyarakat (di undur)",2022/09/27,"Hadiri (mbak Ani)",UNDANGAN,"Selasa - Rabu, 11 - 12 Oktober 2022",,"Hotel Grand serela Yogyakarta"
483,1326,060.Sept/2022,419/005/IX/2022,2022-09-26,"Undangan Rapat persiapan dan evaluasi hasil hilirisasi riset",Balitbangda,"Undangan Rapat persiapan dan evaluasi hasil hilirisasi riset",2022/09/27,,UNDANGAN,2022/09/28,"12.30 WIB - selesai","Ruang Rapat Balitbangda"
484,1325,059.Sept/2022,PE.01.04/3741/2022,2022-09-20,"Undangan opening ceremony solo great sale 2022","Sekretariat Daerah","Undangan opening ceremony solo great sale 2022",2022/09/26,"Sudah Selesai Arsipkan",UNDANGAN,2022/09/25,"06.00 WIB - selesai","CFD Depan Loji Gandrung Rumah Dinas Walkot Surakarta"
485,1324,058.Sept/2022,415/005/IX/2022,2022-09-26,"Undangan verifikasi SOP Balitbangda kota Surakarta",Balitbangda,"Undangan verifikasi SOP Balitbangda kota Surakarta",2022/09/26,"Sudah Dihadiri",UNDANGAN,2022/09/28,"12.30 WIB - selesai","Ruang Rapat Balitbangda"
486,1323,057.Sept/2022,414/005/IX/2022,2022-09-26,"Undangan Rapat Koordinasi seleksi produk hasil lomba krenova",Balitbangda,"Undangan Rapat Koordinasi seleksi produk hasil lomba krenova",2022/09/26,"Sudah Dihadiri",UNDANGAN,"Selasa, 27 Seotember 2022","12.30 WIB - selesai","Ruang Rapat Balitbangda"
487,1322,056.Sept/2022,411/PN.02.00/IX/2022,2022-09-23,"Pinjam tempat dan sarpras lomba krenova subosukawonosraten.",Balitbangda,"Pelaksanaan technical meeting lomba krenova kategori masyarakat umum se subosukawonosraten tahun 2022. (50 peserta)",2022/09/26,"Sudah Dihadiri",PERMOHONAN,2022/09/29,"09.00 WIB - selesai",
488,1321,055.Sept/2022,"PE.01.04/56 70/2022",2022-09-14,"Undangan Rapat Persiapan FGD Akses Permodalan Bagi Pelaku Ekonomi Sub Sektor Seni Pertunjukkan dan Film.","Dinas Kebudayaan dan Pariwisata","Undangan Rapat Persiapan FGD Akses Permodalan Bagi Pelaku Ekonomi Sub Sektor Seni Pertunjukkan dan Film.",2022/09/26,"Sudah Terlewat",UNDANGAN,2022/09/26,"10.00 WIB - selesai","Ruang Rapat Balitbangda"
489,1320,054.Sept/2022,KD.01.02/1070/IX/2022,2022-09-23,"Undangan Pembahasan awal Kajian Perubahan Hukum UPT. Kawasan Sains dan Teknologi","Sekretariat Daerah","Undangan Pembahasan awal Kajian Perubahan Hukum UPT. Kawasan Sains dan Teknologi",2022/09/23,"Sudah dihadiri",UNDANGAN,2022/09/26,"09.00 WIB - selesai","RR. Bagian Perekonomian dan SDA Setda Kota Surakarta"
490,1319,053.Sept/2022,87/UN27.13/PT.01.04/2022,2022-09-21,"Permohonan Ijin Pra Penelitian a.n Dian Kusuma Kristinanda G0119028",UNS,"Permohonan Ijin Pra Penelitian a.n Dian Kusuma Kristinanda G0119028",2022/09/22,"ARD Fasilitasi (bu lusi)",KUNJUNGAN,,,
491,1318,052.Sept/2022,PU.03/6792/IX/2022,2022-09-22,"Permohonan Tindak Lanjut Terkait Saluran Drainase Jl Ki Hajar Dewantara","DPUPR SKA","Melakukan Pengerukan Sedimen Saluran drainase pedestrian jalan Ki Hajar Dewantara didepan Solo Technopark",2022/09/22,"Info Drainase (m susilo, m danang)",PERMOHONAN,2022/09/02,,
492,1317,051.Sept/2022,ISC-73/MST-IX/2022,2022-09-19,"Undangan & Update Informasi Kegiatan Kompetisi Roket Air Nasional ( KRAN ) 2023","Indonesia Science Center","Undangan & Update Informasi Kegiatan Kompetisi Roket Air Nasional ( KRAN ) 2023",2022/09/22,"( m ani, m lusi)",UNDANGAN,2022/10/04,13.30,"Zoom Meeting"
493,1316,050.Sept/2022,421/200/101.6.1.33/2022,2022-09-21,"Permohonan Kunjungan Industri","SMKN 13 Surabaya","Permohonan Kunjungan Industri",,"Fasilitas (m. Budi m. Cristian)",KUNJUNGAN,2022/10/27,"09.00 - 11.00 WIB",
494,1315,049.Sept/2022,/60342.6/2022,2022-09-21,"Permohonan Literasi Produk Pegadaian","Pegadaian Syariah","Permohonan Literasi Produk Pegadaian",2022/09/21,"Bagian HRD ( BU LUSI) cari wadah untuk sosialisasi ke karyawan bisa kerjasama dgn briefing pagi awal bulan",PERMOHONAN,,,
495,1314,048.Sept/2022,17/PN/01.01/IX/2022,2022-09-21,"Undangan Sosialisasi KRAR 2022",Balitbangda,"Sosialisasi Kompetisi Roket Air Tingkat Regional Surakarta Tahun 2022",2022/09/21,Ani,UNDANGAN,2022/09/23,"10.00 WIB - selesai","Zoom Meeting"
496,1313,047.Sept/2022,001/AZKATOUR&TRAVEL/I/2022,,"Permohonan Kunjungan Industri","SMKN 1 BELITANG MADANG RAYA Sumatera Selatan","Permohonan Kunjungan Industri",2022/09/21,"Fasilitas (m.Budi, m.Cristian)",KUNJUNGAN,2022/10/24,"10.00 WIB s.d selesai",
497,1312,046.Sept/2022,B/1093/KI/IX/2022,2022-09-15,"Monitoring dan EvaluasiPengelolaan Pengaduan Masyarakat","Diskominfo SP","Kegiatan Monitoring dan Evaluasi Admin dan Pengelola ULAS SP4N Lapor dan Lapor Mas Wali",2022/09/19,,UNDANGAN,"Rabu-Kamis, 28-29 September 2022",,"Hotel Grand Serela"
498,1311,045.Sept/2022,"518/IT 4.2/PP/2022",,"Izin Survey/Penelitian","ISI Yogyakarta","Izin Survey/Penelitian Tugas Akhir Perancangan Interior Solo Technopark",2022/09/19,"DiFasilitasi (m.Susilo, m.Danang)",PERMOHONAN,"Sabtu - Jumat, 17 - 30 September 2022",,
499,1310,044.Sept/2022,1070.D.2-III/TA/IX/2022,2022-09-15,"Permohonan ijin penelitian/survey/mencari data pada instansi",UMS,"Permohonan Ijin Penelitian /Survey/mencari data pada Instansi",2022/09/16,"Fasilitas (m.Budi, m.Cristian)",PERMOHONAN,,,
500,1309,043.Sept/2022,1069.D.2-III/TA/IX/2022,2022-09-15,"Permohonan ijin penelitian/survey/mencari data pada instansi",UMS,"Permohonan Ijin Penelitian /Survey/mencari data pada Instansi",2022/09/16,"Fasilitas (m.Budi, m.Cristian)",PERMOHONAN,,,
501,1308,042.Sept/2022,B/930/BPSDMI/AKOM-Surakarta/PP/IX/2022,2022-09-14,"Undangan Wisuda",Ak-Tekstil,"Undangan Wisuda Angkatan Ke VI Ak-Tekstil Solo Tahun 2022",2022/09/16,"Sudah dihadiri",UNDANGAN,2022/09/22,"08.00 - 13.00 WIB","Hotel Grand Mercure Solo Baru"
502,1307,041.Sept/2022,388/KRENOV/IX/2022,2022-09-15,"Pinjam Tempat dan Sarpras Lomba Krenova Subosukawonosraten.",Balitbangda,"Loading dan Gladi Bersih Lomba Krenova Kategori Masyarakat Umum Se Subosukawonosraten Tahun 2022. Selasa, 4 Oktober 2022. Jam 08.00 WIB - selesai. ( 30 Peserta ). Pelaksanaan Lomba Krenova Hari Rabu, 5 Oktober 2022. Jam 07.00 WIB - selesai. ( 120 Peserta ",2022/09/16,"Fasilitas (m. Susilo, m.Danu)",PERMOHONAN,"Selasa-Rabu, 4 - 5 Oktober 2022","08.00 WIB - selesai, dan 07.00 WIB - selesai",
503,1306,040.Sept/2022,KM/2627/IX/2022,2022-09-14,"Undangan FGD dalam acara Focus Group Discussion Digital Entrepreneur Community Learning","Pemkot Dinas Koperasi, Usaha Kecil dan Menengah dan Perindustrian","Undangan FGD dalam acara Focus Group Discussion Digital Entrepreneur Community Learning",2022/09/15,Arsipkan,UNDANGAN,2022/09/16,"08.30 WIB - selesai","Aula Dinas Koperasi UKM Kota Surakarta"
504,1305,039.Sept/2022,383/005/IX/2022,2022-09-15,"Undangan Finalisasi dan Tindak Lanjut Draft PKS Bangun Guna Serah antara Pemkot Surakarta dengan PT. Shopee Internasional Indonesia",Balitbangda,"Undangan Finalisasi dan Tindak Lanjut Draft PKS Bangun Guna Serah antara Pemkot Surakarta dengan PT. Shopee Internasional Indonesia",2022/09/15,Arsipkan,UNDANGAN,2022/09/16,"08.30 WIB - selesai","Ruang Rapat Balitbangda"
505,1304,038.Sept/2022,KD.01.02/3627/2022,2022-09-13,"Permintaan Data BLUD",Setda,"Permintaan Data BLUD",2022/09/15,,PERMOHONAN,,,
506,1303,037.Sept/2022,TM.00/3643/2022,2023-09-22,"Identifikasi dan Pemetaan Urusan Pemerintahan yang akan dikerjasamakan",Setda,"Identifikasi dan Pemetaan Urusan Pemerintahan yang akan dikerjasamakan",2022/09/15,,PERMOHONAN,,,
507,1302,036.Sept/2022,TM.00.07/3642/2022,2022-09-14,"Undangan Rapat Koordinasi Lanjutan Dukungan Side Event acara Indo Smart City di Kota Surakarta",Setda,"Rapat Koordinasi Lanjutan Dukungan Side Event acara Indo Smart City di Kota Surakarta",2022/09/15,"Hadiri (m.Susilo)",UNDANGAN,2022/09/15,"13.00 WIB","Ruang Manganti Praja"
508,1301,035.Sept/2022,TM.00.07/318/IX/2022,2022-09-13,"Undangan keperluan Bimtek Penyusunan RKA Tahun 2023",BPKAD,"Keperluan Bimtek Penyusunan RKA Tahun 2023",2022/09/14,"Hadiri (Bu.Susi)",UNDANGAN,"Kamis - Jumat, 15 - 16 September 2022","10.00 WIB - selesai","The Sunan Hotel"
509,1300,034.Sept/2022,TM.00.07/317/IX/2022,2022-09-13,"Undangan keperluan Bimtek Penyusunan RKA Tahun 2023",BPKAD,"Keperluan Bimtek Penyusunan RKA Tahun 2023",2022/09/14,"Hadiri (Bu.Susi)",UNDANGAN,2022/09/14,"10.00 WIB - selesai","Emerald Ballroom Hotel Solo Paragon"
510,1299,033.Sept/2022,379/005/IX/2022,2022-09-13,"Undangan Pembahasan Draf Surat Keputusan Walikota Surakarta tentang besaran Remunetasi Pejabat Pengelola dan Pegawai Non Pegawai negeri Sipil BLUD UPT Solo Technopark pada Balitbangda Kota Surakarta 2022",Balitbangda,"Undangan Pembahasan Draf Surat Keputusan Walikota Surakarta tentang besaran Remunetasi Pejabat Pengelola dan Pegawai Non Pegawai negeri Sipil BLUD UPT Solo Technopark pada Balitbangda Kota Surakarta 2022",14-Ssep-22,"Sudah Dihadiri",UNDANGAN,2022/09/15,"10.00 WIB - selesai","Ruang Rapat Balitbangda"
511,1298,032.Sept/2022,003/SYEF/IX/2022,2022-09-14,"Permohonan peminjaman tempat","Youth Reinforcement Program","Untuk mengadakan Solo Youth Edutech Festival (SYEF) 2022 dengan tema ""Develop Your Skills, Elevate Your Career""",2022/09/14,"Bagian kerjasama fasilitasi, beri penawaran (m susilo)",PERMOHONAN,"Kamis - Sabtu, 3 - 5 November 2022","10.00 - 20.00 WIB",STP
512,1297,031.Sept/2022,326/RP.03/IX/2022,2022-09-13,"Undangan Desk Pelaporan Simdalbangda Bulan Agustus Tahun 2022",Setda,"Undangan Desk Pelaporan Simdalbangda Bulan Agustus Tahun 2022",2022/09/14,"Bagian Keuangan Hadiri (Bu.Susi)",UNDANGAN,2022/09/15,"08.30 - 14.30 WIB","Zoom Meeting (Room 3 Tanjung)"
513,1296,030.Sept/2022,02/AST/ICE/09/2022,2022-09-06,"Permohonan Surat Rekomendasi Dukungan Penyelenggaraan Indonesia Coffee Event League",ASTERY,"Permohonan Surat Rekomendasi Dukungan Penyelenggaraan Indonesia Coffee Event League",2022/09/13,,PRMOHONAN,"29 September - 3 Oktober 2022",,STP
